dataset_size,ef_search_at_recall_095,engine,phase,qps_at_recall_095,recall_at_selected_setting
10000,128,alopex-hnsw,search,167.33094033281085,0.9825
10000,128,faiss-hnsw,search,577.9449681514108,0.9804999999999999
10000,128,hnswlib,search,490.3892487420049,0.9555
10000,10000,flat,search,490.5622594235114,1.0
50000,256,alopex-hnsw,search,96.74785403532856,0.9745
50000,256,faiss-hnsw,search,281.31718031402687,0.9740000000000001
50000,50000,flat,search,117.49429762138848,1.0
50000,256,hnswlib,search,350.98812275396807,0.958
