dataset_size,dimension,duration_seconds,ef_search,engine,latency_us,native_search_latency_us,python_binding_residual_us,queries_per_second,query_count,query_latency_p50_us,query_latency_p95_us,query_latency_p99_us,recall_at_10,run,tie_aware_recall_at_10
9171,128,2.675640408997424,16,hnswlib,267.5640408997424,,,3737.4229983867867,10000,200.77749999999997,613.896,1145.867,0.998,1,0.998
9171,128,2.2581543160049478,16,hnswlib,225.81543160049478,,,4428.395317859265,10000,175.7425,513.168,871.75,0.998,2,0.998
9171,128,2.0000564450019738,16,hnswlib,196.35346995896072,,,5092.856266858982,10186,155.7145,448.376,761.949,0.998,3,0.998
9171,128,3.8794630340125877,32,hnswlib,387.9463034012588,,,2577.6763207502063,10000,292.978,876.425,1602.72,0.9990000000000001,1,0.9995
9171,128,3.7767548490082845,32,hnswlib,377.67548490082845,,,2647.775775710155,10000,299.7825,800.229,1462.994,0.9990000000000001,2,0.9995
9171,128,3.528058701995178,32,hnswlib,352.8058701995178,,,2834.4199585865244,10000,279.73,757.898,1399.061,0.9990000000000001,3,0.9995
9171,128,6.360910506002256,64,hnswlib,636.0910506002256,,,1572.1019798288062,10000,515.5675,1307.099,2557.908,0.9995,1,1.0
9171,128,5.734432078999816,64,hnswlib,573.4432078999816,,,1743.851851802589,10000,481.78,1119.27,1960.908,0.9995,2,1.0
9171,128,5.854413252003724,64,hnswlib,585.4413252003724,,,1708.1131053701092,10000,496.109,1178.204,1942.132,0.9995,3,1.0
9171,128,9.668165694994968,128,hnswlib,966.8165694994967,,,1034.3223642905516,10000,842.127,1784.098,2976.308,0.9995,1,1.0
9171,128,9.593859590997454,128,hnswlib,959.3859590997454,,,1042.3333701259976,10000,850.1265000000001,1748.188,2626.999,0.9995,2,1.0
9171,128,8.49451705100364,128,hnswlib,849.451705100364,,,1177.2299637468482,10000,769.4580000000001,1537.908,2298.648,0.9995,3,1.0
9171,128,14.354205062991241,256,hnswlib,1435.420506299124,,,696.6599652238856,10000,1322.8145,2379.534,3367.768,0.9995,1,1.0
9171,128,16.469901192002,256,hnswlib,1646.9901192001998,,,607.1681841574211,10000,1455.5030000000002,2890.83,4619.757,0.9995,2,1.0
9171,128,16.052117423998425,256,hnswlib,1605.2117423998425,,,622.970773005291,10000,1444.679,2750.996,4055.59,0.9995,3,1.0
9171,128,4.781458976998692,16,alopex-hnsw,478.14589769986924,308.0,170.14589769986924,2091.411857365128,10000,410.99850000000004,910.858,1470.963,0.9965,1,0.997
9171,128,3.515422648997628,16,alopex-hnsw,351.5422648997628,308.0,43.54226489976281,2844.608173316331,10000,301.67449999999997,665.777,1000.922,0.9965,2,0.997
9171,128,4.359364383009961,16,alopex-hnsw,435.9364383009961,308.0,127.93643830099609,2293.9123967185815,10000,357.85400000000004,890.991,1488.955,0.9965,3,0.997
9171,128,9.276724968993221,32,alopex-hnsw,927.672496899322,581.0,346.672496899322,1077.9666351459457,10000,822.377,1697.12,2602.196,0.9990000000000001,1,0.9995
9171,128,9.047779119006009,32,alopex-hnsw,904.7779119006008,581.0,323.77791190060077,1105.2436038136398,10000,808.7985,1617.352,2390.621,0.9990000000000001,2,0.9995
9171,128,8.838997601997107,32,alopex-hnsw,883.8997601997107,581.0,302.8997601997107,1131.3500071253072,10000,794.1155,1664.371,2435.962,0.9990000000000001,3,0.9995
9171,128,14.92754452599911,64,alopex-hnsw,1492.754452599911,897.5,595.254452599911,669.9025404066375,10000,1314.873,2737.807,4454.549,0.9995,1,1.0
9171,128,13.786770927996258,64,alopex-hnsw,1378.6770927996258,897.5,481.1770927996258,725.3330059828143,10000,1255.7955000000002,2560.443,4038.575,0.9995,2,1.0
9171,128,7.824479028000496,64,alopex-hnsw,782.4479028000496,897.5,0.0,1278.0403607977266,10000,682.6665,1477.769,2121.822,0.9995,3,1.0
9171,128,13.145685816009063,128,alopex-hnsw,1314.5685816009063,1143.5,171.06858160090633,760.7058422027561,10000,1235.2845,2148.443,2911.398,0.9995,1,1.0
9171,128,13.395099001005292,128,alopex-hnsw,1339.5099001005292,1143.5,196.0099001005292,746.541701502132,10000,1274.0185000000001,2112.355,2699.13,0.9995,2,1.0
9171,128,13.043047571991337,128,alopex-hnsw,1304.3047571991337,1143.5,160.80475719913375,766.6919824377561,10000,1237.891,2093.13,2632.645,0.9995,3,1.0
9171,128,26.62313500700111,256,alopex-hnsw,2662.313500700111,1794.0,868.313500700111,375.6131649172906,10000,2517.8469999999998,4285.951,5696.462,0.9995,1,1.0
9171,128,49.241649421994225,256,alopex-hnsw,4924.1649421994225,1794.0,3130.1649421994225,203.08011850499489,10000,4611.3745,8424.652,11467.962,0.9995,2,1.0
9171,128,52.325539169003605,256,alopex-hnsw,5232.5539169003605,1794.0,3438.5539169003605,191.11126533644511,10000,4712.5635,9124.521,12214.941,0.9995,3,1.0
9171,128,17.062698648995138,9171,faiss-flat-exact,1706.2698648995138,,,586.0737627566858,10000,1521.6255,2759.298,3993.953,1.0,1,1.0
9171,128,16.1169097230013,9171,faiss-flat-exact,1611.69097230013,,,620.4663407482185,10000,1459.1495,2560.304,3672.683,1.0,2,1.0
9171,128,17.822257384003024,9171,faiss-flat-exact,1782.2257384003024,,,561.0961498612315,10000,1579.9625,2925.009,4263.592,1.0,3,1.0
9171,128,2.7094385819946183,16,faiss-hnsw,270.94385819946183,,,3690.801506428044,10000,207.4445,637.345,1178.389,0.9965,1,0.997
9171,128,2.4653067369945347,16,faiss-hnsw,246.53067369945347,,,4056.2903795862094,10000,193.9075,552.069,1058.269,0.9965,2,0.997
9171,128,2.508755728005781,16,faiss-hnsw,250.87557280057808,,,3986.0397281281093,10000,198.3835,561.018,1052.674,0.9965,3,0.997
9171,128,4.468382445993484,32,faiss-hnsw,446.8382445993484,,,2237.946308505076,10000,360.59749999999997,944.482,1674.316,0.9984999999999999,1,0.9990000000000001
9171,128,3.3261878580087796,32,faiss-hnsw,332.61878580087796,,,3006.44474301776,10000,278.36850000000004,689.234,1191.465,0.9984999999999999,2,0.9990000000000001
9171,128,3.9112282499991124,32,faiss-hnsw,391.12282499991124,,,2556.741606681295,10000,314.4905,847.886,1557.938,0.9984999999999999,3,0.9990000000000001
9171,128,6.968235617998289,64,faiss-hnsw,696.8235617998289,,,1435.0835058118519,10000,599.4805,1320.563,2093.497,0.9995,1,1.0
9171,128,6.436677263991442,64,faiss-hnsw,643.6677263991442,,,1553.5966135730891,10000,551.2094999999999,1252.399,1952.172,0.9995,2,1.0
9171,128,6.348734273007722,64,faiss-hnsw,634.8734273007722,,,1575.1171131096162,10000,548.6804999999999,1238.414,2002.357,0.9995,3,1.0
9171,128,10.942409954994218,128,faiss-hnsw,1094.2409954994218,,,913.875466293959,10000,960.414,1905.948,2925.127,0.9995,1,1.0
9171,128,9.732353696992504,128,faiss-hnsw,973.2353696992506,,,1027.5006757194,10000,876.252,1648.549,2431.202,0.9995,2,1.0
9171,128,9.858468817998073,128,faiss-hnsw,985.8468817998074,,,1014.3563046772072,10000,883.6275,1706.422,2571.226,0.9995,3,1.0
9171,128,15.4869406910002,256,faiss-hnsw,1548.69406910002,,,645.7053203420104,10000,1424.8905,2457.208,3454.476,0.9995,1,1.0
9171,128,16.062238904007245,256,faiss-hnsw,1606.2238904007245,,,622.5782133962144,10000,1437.7595000000001,2644.631,4099.725,0.9995,2,1.0
9171,128,15.055821210000431,256,faiss-hnsw,1505.5821210000431,,,664.1949223837597,10000,1404.7714999999998,2573.426,3692.97,0.9995,3,1.0
