actual_latency_us,ef_search,engine,exploration_residual_us,fixed_lower_bound_us,regression_intercept_us,slope_us_per_ef
435.9364383009961,16,alopex-hnsw,411.9347737704382,24.00166453055789,61.49942806326521,17.440781908236342
904.7779119006008,32,alopex-hnsw,880.7762473700429,24.00166453055789,61.49942806326521,17.440781908236342
1378.6770927996258,64,alopex-hnsw,1354.6754282690679,24.00166453055789,61.49942806326521,17.440781908236342
1314.5685816009063,128,alopex-hnsw,1290.5669170703484,24.00166453055789,61.49942806326521,17.440781908236342
4924.1649421994225,256,alopex-hnsw,4900.163277668865,24.00166453055789,61.49942806326521,17.440781908236342
1706.2698648995138,9171,faiss-flat-exact,1677.6530223492189,28.616842550295008,1706.2698648995138,0.0
250.87557280057808,16,faiss-hnsw,217.64879063320973,33.22678216736837,239.52523073742987,5.287461535105467
391.12282499991124,32,faiss-hnsw,357.8960428325429,33.22678216736837,239.52523073742987,5.287461535105467
643.6677263991442,64,faiss-hnsw,610.4409442317758,33.22678216736837,239.52523073742987,5.287461535105467
985.8468817998074,128,faiss-hnsw,952.6200996324391,33.22678216736837,239.52523073742987,5.287461535105467
1548.69406910002,256,faiss-hnsw,1515.4672869326516,33.22678216736837,239.52523073742987,5.287461535105467
225.81543160049478,16,hnswlib,209.62900460486387,16.186426995630907,191.97592174229328,5.632359545342373
377.67548490082845,32,hnswlib,361.48905790519757,16.186426995630907,191.97592174229328,5.632359545342373
585.4413252003724,64,hnswlib,569.2548982047415,16.186426995630907,191.97592174229328,5.632359545342373
959.3859590997454,128,hnswlib,943.1995321041145,16.186426995630907,191.97592174229328,5.632359545342373
1605.2117423998425,256,hnswlib,1589.0253154042116,16.186426995630907,191.97592174229328,5.632359545342373
